Date,PEP,KO,Spread,Z_Score,Signal
2019-05-08,100.78446960449219,38.40601348876953,-3.647324190056949,0.6008865522536573,0
2019-05-09,100.80848693847656,38.04481887817383,-2.980972558772038,1.188513628318509,0
2019-05-10,102.37596893310547,38.67889404296875,-2.5411049123820106,1.504741348786755,0
2019-05-13,101.6961898803711,38.566532135009766,-3.02106396483137,0.9689019831280916,0
2019-05-14,101.8961181640625,39.08021545410156,-3.7346499034581058,0.22965585658469215,0
2019-05-15,103.44763946533203,39.47350311279297,-2.8825359146783,1.0156174531621152,0
2019-05-16,104.18341827392578,39.794559478759766,-2.7177111269295153,1.105194742950796,0
2019-05-17,104.37535858154297,39.48956298828125,-1.9833770497387917,1.7131607336056367,0
2019-05-20,103.95947265625,39.20863723754883,-1.8996756628270504,1.6685083418877327,0
2019-05-21,103.20771789550781,39.00798416137695,-2.2945968803680046,1.2014158497220253,0
2019-05-22,104.02346801757812,39.850738525390625,-2.977567991465847,0.4715309836392467,0
2019-05-23,103.94348907470703,40.01126480102539,-3.343020552805598,0.034106064478222814,0
2019-05-24,103.567626953125,39.818641662597656,-3.3763292568221033,-0.08899913402110708,0
2019-05-28,102.07206726074219,39.40929412841797,-4.143921385443761,-1.1408288648844576,0
2019-05-29,102.50394439697266,39.01601028442383,-3.0126437206312175,0.29133907851851,0
2019-05-30,102.8558349609375,39.529685974121094,-3.5742538111691857,-0.6302811246804452,0
2019-05-31,102.36798858642578,39.43336868286133,-3.890813301036644,-1.070428330380069,0
2019-06-03,103.15172576904297,40.1156120300293,-4.320350868749628,-1.6512305665995086,0
2019-06-04,103.2237319946289,40.13167190551758,-4.27690489443512,-1.4634364016228742,0
2019-06-05,105.07913970947266,40.757720947265625,-3.534838186102192,-0.27168701348090146,0
2019-06-06,106.32379150390625,41.2553596496582,-3.175167498345971,0.30285142995839914,0
2019-06-07,107.52413940429688,41.32759094238281,-2.1032728896001203,1.815511728681318,0
2019-06-10,107.62079620361328,41.23930740356445,-1.8496161151828403,1.9704528168213844,0
2019-06-11,107.30663299560547,41.19916534423828,-2.092392262827417,1.5034717399689654,0
2019-06-12,107.25827026367188,41.44799041748047,-2.5832557239611873,0.7759480219306102,0
2019-06-13,107.09716796875,41.359004974365234,-2.586109804771752,0.721252725207024,0
2019-06-14,106.92801666259766,41.504608154296875,-3.014196082605608,0.0990167824812677,0
2019-06-17,106.75879669189453,41.14869689941406,-2.550477468124811,0.6987139333642057,0
2019-06-18,106.38824462890625,40.96263885498047,-2.5901512186397753,0.6004907756940524,0
2019-06-19,107.024658203125,41.350921630859375,-2.644244470053721,0.47764703691278904,0
2019-06-20,108.08001708984375,41.787723541259766,-2.3656769305641916,0.8187829051042477,0
2019-06-21,107.91887664794922,41.69875717163086,-2.368603077885737,0.7768020063067687,0
2019-06-24,108.06388092041016,41.99803161621094,-2.755816713500195,0.2373957228049469,0
2019-06-25,107.79804992675781,41.86860656738281,-2.7914832878800837,0.17551952304130983,0
2019-06-26,106.59770965576172,41.350921630859375,-3.071193017417002,-0.26143890876107473,0
2019-06-27,106.09017944335938,41.31856155395508,-3.521175341093567,-0.8758517282225453,0
2019-06-28,105.63902282714844,41.189144134521484,-3.7421811058473793,-1.120867357906521,0
2019-07-01,106.23516845703125,41.73918914794922,-4.124213906149521,-1.5433383735482644,0
2019-07-02,106.68630981445312,42.046573638916016,-4.219713044499727,-1.568244650493915,0
2019-07-03,107.94306945800781,42.14363479614258,-3.135563147584051,-0.015796402071117998,0
2019-07-05,107.1616439819336,42.151737213134766,-3.9313976435396256,-1.0845807030221761,0
2019-07-08,106.79104614257812,42.06275177001953,-4.143747268783784,-1.304515109469652,0
2019-07-09,106.13044738769531,41.731101989746094,-4.214553091234762,-1.3212316564700297,0
2019-07-10,108.28141021728516,41.917144775390625,-2.3944414384875756,1.007355792514125,0
2019-07-11,108.23307037353516,42.095123291015625,-2.7592912782755263,0.5093160790275593,0
2019-07-12,107.3710708618164,42.159820556640625,-3.736345863999844,-0.7726507094737414,0
2019-07-15,108.07194519042969,42.16790771484375,-3.049853419637259,0.0960268660013587,0
2019-07-16,107.78999328613281,42.17599105834961,-3.346180424277165,-0.36059184832374164,0
2019-07-17,106.96827697753906,42.20834732055664,-4.225437837689029,-1.6026499737540933,0
2019-07-18,107.04884338378906,42.08701705932617,-3.9291024642325993,-1.1472758986724318,0
2019-07-19,104.80120086669922,41.5693244934082,-5.256100872047938,-2.536122339293651,1
2019-07-22,104.9542465209961,41.43180465698242,-4.858495346412582,-1.8726792354200592,0
2019-07-23,105.3248519897461,43.947486877441406,-8.96168024968648,-4.164823539873337,1
2019-07-24,104.0922622680664,43.502586364746094,-9.403076388163257,-3.3871245321168795,1
2019-07-25,103.91504669189453,42.92826461791992,-8.558940745767444,-2.4660987904562277,1
2019-07-26,105.71154022216797,43.81806182861328,-8.34482759799215,-2.086758155862346,1
2019-07-29,105.96128845214844,43.67246627807617,-7.8361579641454995,-1.6742148387832623,0
2019-07-30,105.11537170410156,43.45405197143555,-8.29365529490093,-1.7230135440616015,0
2019-07-31,102.96441650390625,42.57236099243164,-8.876645916387119,-1.8027566644654436,0
2019-08-01,102.42464447021484,42.08701705932617,-8.553301377806818,-1.53239615560694,0
2019-08-02,103.05302429199219,42.329689025878906,-8.356479842165328,-1.3485375182155648,0
2019-08-05,100.2173080444336,41.779632568359375,-10.213997307815987,-1.9155633683690267,0
2019-08-06,101.8687973022461,42.281150817871094,-9.454388390776586,-1.4942729823239587,0
2019-08-07,102.94025421142578,43.017250061035156,-9.691981440347504,-1.4689199342628523,0
2019-08-08,104.30171966552734,43.42977523803711,-9.0641345450924,-1.1505556354735322,0
2019-08-09,103.6008529663086,43.21139144897461,-9.37663609828104,-1.1830983436825222,0
2019-08-12,103.39945220947266,43.03342819213867,-9.261553994709686,-1.0658088229498675,0
2019-08-13,104.67229461669922,43.276100158691406,-8.420269873618977,-0.7036034158722612,0
